State,City,LocationType,SpecificLocation,TimeOfDay,CrowdDensity,Lighting,Weather,CrimeRate,AccidentRisk,SafetyIndex,EmergencySOS,CommunityReports,AccessibilityMode,TravelCompanion,HealthAlerts
Delhi,Dwarka,Sensitive,City Market,Afternoon,High,Poor,Rainy,Low,Low,25,Disabled,11 reports,VoiceOnly,English+Telugu,Heatwave=Moderate
Tamil Nadu,Coimbatore,Public,Bus Stop,Evening,Low,Poor,Clear,High,Medium,23,Disabled,11 reports,Voice+LargeButtons,English+Hindi,AQI=Moderate
Telangana,Nizamabad,Sensitive,Metro Station,Afternoon,Medium,Poor,Sunny,Low,High,56,Disabled,5 reports,Voice+LargeButtons,English+Bengali,StormWarning=Active
Rajasthan,Udaipur,Tourist,Temple Area,Evening,Low,Good,Clear,Medium,Low,44,Enabled,18 reports,VoiceOnly,English+Tamil,FloodAlert=Active
Assam,Guwahati,Industrial,Apartment Complex,Morning,Low,Good,Sunny,Low,Medium,69,Enabled,16 reports,Voice+LargeButtons,English+Punjabi,FloodAlert=Active
Goa,Vasco,Public,Temple Area,Night,Medium,Good,Clear,Medium,High,22,Enabled,7 reports,Voice+Vibration,English+Malayalam,AQI=Poor
Delhi,Connaught Place,Urban,Park,Morning,Medium,Good,Rainy,Medium,Low,53,Disabled,17 reports,Voice+Vibration,English+Malayalam,StormWarning=Active
Tamil Nadu,Chennai,Residential,Metro Station,Morning,Low,Good,Clear,High,Medium,37,Enabled,16 reports,Voice+Vibration,English+Telugu,Heatwave=Moderate
Karnataka,Mysuru,Industrial,Factory Zone,Afternoon,Medium,Poor,Sunny,Medium,Medium,74,Disabled,20 reports,Voice+Vibration,English+Malayalam,FloodAlert=Active
Punjab,Patiala,Transit,Park,Afternoon,Medium,Good,Stormy,High,Low,52,Enabled,4 reports,Voice+Vibration,English+Tamil,AQI=Good
Chhattisgarh,Bilaspur,Industrial,Apartment Complex,Morning,High,Poor,Rainy,Low,High,75,Enabled,19 reports,VibrationOnly,English+Kannada,StormWarning=Active
Madhya Pradesh,Gwalior,Public,Temple Area,Night,Low,Poor,Stormy,Medium,High,99,Disabled,12 reports,VibrationOnly,English+Hindi,Heatwave=Moderate
Punjab,Patiala,Public,Bus Stop,Evening,High,Good,Stormy,Low,Low,53,Disabled,13 reports,Voice+Vibration,English+Tamil,AQI=Good
Chhattisgarh,Korba,Urban,Beach,Morning,Low,Good,Sunny,Low,High,33,Enabled,0 reports,Voice+Vibration,English+Punjabi,AQI=Moderate
West Bengal,Howrah,Sensitive,Beach,Evening,Medium,Poor,Sunny,Medium,Low,34,Disabled,2 reports,VibrationOnly,English+Malayalam,AQI=Good
Assam,Tezpur,Public,City Market,Morning,High,Poor,Clear,Low,High,38,Disabled,19 reports,Voice+Vibration,English+Malayalam,AQI=Moderate
Jharkhand,Dhanbad,Urban,Bus Stop,Night,Medium,Good,Stormy,High,Low,57,Disabled,2 reports,Voice+LargeButtons,English+Bengali,AQI=Poor
West Bengal,Howrah,Sensitive,City Market,Night,High,Poor,Foggy,Low,High,53,Disabled,8 reports,VoiceOnly,English+Gujarati,FloodAlert=Active
Assam,Guwahati,Transit,Forest Path,Afternoon,Medium,Poor,Sunny,High,Low,97,Disabled,14 reports,Voice+Vibration,English+Assamese,Heatwave=Moderate
Punjab,Patiala,Urban,City Market,Night,Low,Good,Sunny,Medium,Low,27,Disabled,17 reports,VoiceOnly,English+Gujarati,FloodAlert=Active
Odisha,Cuttack,Industrial,Forest Path,Night,Low,Poor,Sunny,Low,High,74,Disabled,3 reports,VibrationOnly,English+Malayalam,AQI=Good
Gujarat,Vadodara,Sensitive,Bus Stop,Evening,High,Good,Stormy,High,Medium,85,Disabled,18 reports,Voice+Vibration,English+Gujarati,StormWarning=Active
Telangana,Warangal,Transit,Beach,Night,High,Good,Clear,Medium,High,47,Disabled,19 reports,Voice+LargeButtons,English+Tamil,StormWarning=Active
Madhya Pradesh,Bhopal,Tourist,Factory Zone,Afternoon,Low,Good,Sunny,Medium,Low,27,Enabled,8 reports,Voice+Vibration,English+Kannada,Heatwave=Moderate
Punjab,Patiala,Residential,Apartment Complex,Evening,High,Good,Clear,Low,Low,22,Enabled,2 reports,Voice+LargeButtons,English+Hindi,AQI=Good
Meghalaya,Shillong,Transit,City Market,Night,Low,Poor,Foggy,High,Low,42,Enabled,20 reports,Voice+LargeButtons,English+Hindi,FloodAlert=Active
Jharkhand,Dhanbad,Industrial,Metro Station,Afternoon,Low,Poor,Rainy,High,Medium,68,Enabled,6 reports,VibrationOnly,English+Gujarati,Heatwave=Moderate
Punjab,Ludhiana,Residential,Temple Area,Night,Medium,Good,Foggy,Medium,High,48,Disabled,3 reports,VibrationOnly,English+Kannada,AQI=Good
Nagaland,Dimapur,Tourist,Temple Area,Afternoon,Low,Good,Rainy,Medium,High,77,Enabled,20 reports,Voice+LargeButtons,English+Malayalam,AQI=Poor
Nagaland,Dimapur,Urban,Temple Area,Morning,Medium,Poor,Sunny,Low,Medium,91,Disabled,7 reports,Voice+LargeButtons,English+Kannada,StormWarning=Active
Chhattisgarh,Korba,Urban,Forest Path,Night,High,Poor,Rainy,Medium,Low,33,Disabled,0 reports,VibrationOnly,English+Assamese,AQI=Good
Telangana,Warangal,Tourist,Factory Zone,Afternoon,Low,Poor,Sunny,Low,Medium,77,Disabled,9 reports,VibrationOnly,English+Telugu,Heatwave=Moderate
Punjab,Amritsar,Tourist,City Market,Afternoon,High,Poor,Sunny,Medium,Low,46,Disabled,10 reports,VibrationOnly,English+Telugu,AQI=Good
West Bengal,Kolkata,Sensitive,Temple Area,Afternoon,Medium,Poor,Foggy,Medium,Low,61,Enabled,12 reports,Voice+Vibration,English+Punjabi,AQI=Moderate
Madhya Pradesh,Bhopal,Public,Factory Zone,Morning,High,Good,Sunny,Low,Medium,16,Disabled,20 reports,Voice+Vibration,English+Bengali,FloodAlert=Active
Jharkhand,Dhanbad,Urban,City Market,Evening,Medium,Poor,Rainy,Medium,Medium,17,Enabled,0 reports,VoiceOnly,English+Punjabi,Heatwave=Moderate
Uttar Pradesh,Lucknow,Public,City Market,Evening,Medium,Good,Stormy,Low,Low,29,Disabled,17 reports,Voice+LargeButtons,English+Punjabi,Heatwave=Moderate
Meghalaya,Tura,Residential,Bus Stop,Evening,High,Poor,Stormy,Medium,High,98,Enabled,4 reports,VibrationOnly,English+Malayalam,Heatwave=Moderate
Gujarat,Ahmedabad,Transit,Temple Area,Night,Medium,Good,Rainy,Low,Low,80,Enabled,17 reports,VibrationOnly,English+Tamil,AQI=Good
Madhya Pradesh,Bhopal,Sensitive,Bus Stop,Evening,Low,Good,Sunny,Low,Low,79,Enabled,15 reports,Voice+Vibration,English+Hindi,StormWarning=Active
Chhattisgarh,Korba,Transit,Factory Zone,Afternoon,Medium,Poor,Clear,Low,Low,16,Enabled,15 reports,Voice+LargeButtons,English+Tamil,AQI=Moderate
Madhya Pradesh,Gwalior,Industrial,City Market,Night,High,Good,Clear,Low,Medium,60,Enabled,9 reports,VibrationOnly,English+Gujarati,StormWarning=Active
Meghalaya,Shillong,Transit,Factory Zone,Night,High,Poor,Clear,Low,Medium,79,Enabled,20 reports,VibrationOnly,English+Gujarati,FloodAlert=Active
Gujarat,Ahmedabad,Sensitive,Temple Area,Afternoon,Medium,Good,Stormy,High,High,69,Disabled,19 reports,VibrationOnly,English+Assamese,FloodAlert=Active
Delhi,Dwarka,Tourist,Temple Area,Evening,Medium,Poor,Stormy,Low,Medium,46,Enabled,13 reports,VibrationOnly,English+Tamil,StormWarning=Active
Uttar Pradesh,Lucknow,Urban,Temple Area,Morning,Medium,Poor,Foggy,Medium,High,100,Enabled,11 reports,VoiceOnly,English+Assamese,AQI=Good
Jharkhand,Jamshedpur,Industrial,Temple Area,Evening,High,Poor,Sunny,High,Medium,87,Enabled,8 reports,Voice+LargeButtons,English+Bengali,AQI=Moderate
Chhattisgarh,Korba,Tourist,Temple Area,Afternoon,Medium,Good,Stormy,Medium,Medium,24,Disabled,2 reports,Voice+LargeButtons,English+Gujarati,FloodAlert=Active
Madhya Pradesh,Gwalior,Public,Beach,Evening,Low,Good,Foggy,Low,Low,62,Enabled,5 reports,Voice+LargeButtons,English+Tamil,AQI=Moderate
Gujarat,Vadodara,Transit,Temple Area,Night,Low,Poor,Stormy,Medium,High,14,Disabled,20 reports,Voice+Vibration,English+Gujarati,Heatwave=Moderate
Uttar Pradesh,Lucknow,Urban,Forest Path,Night,Medium,Poor,Sunny,Medium,Medium,22,Disabled,0 reports,VoiceOnly,English+Tamil,AQI=Good
Rajasthan,Jodhpur,Public,Beach,Night,High,Poor,Rainy,High,Low,40,Disabled,11 reports,VoiceOnly,English+Telugu,StormWarning=Active
Nagaland,Dimapur,Tourist,Bus Stop,Night,Low,Poor,Stormy,Low,Low,66,Enabled,6 reports,Voice+LargeButtons,English+Gujarati,AQI=Good
Chhattisgarh,Raipur,Sensitive,City Market,Morning,High,Poor,Stormy,Medium,High,59,Disabled,6 reports,VibrationOnly,English+Hindi,Heatwave=Moderate
Chhattisgarh,Raipur,Tourist,City Market,Afternoon,Low,Good,Stormy,High,Medium,12,Enabled,12 reports,Voice+LargeButtons,English+Kannada,StormWarning=Active
Kerala,Thiruvananthapuram,Sensitive,Factory Zone,Afternoon,High,Poor,Foggy,High,Medium,43,Enabled,15 reports,Voice+Vibration,English+Punjabi,AQI=Moderate
Punjab,Ludhiana,Public,Metro Station,Afternoon,Medium,Good,Stormy,Low,High,91,Enabled,2 reports,VibrationOnly,English+Tamil,FloodAlert=Active
Rajasthan,Jaipur,Public,Metro Station,Morning,High,Poor,Clear,High,High,60,Enabled,10 reports,Voice+Vibration,English+Kannada,AQI=Good
Chhattisgarh,Korba,Tourist,City Market,Afternoon,Low,Poor,Sunny,Medium,High,50,Disabled,6 reports,Voice+Vibration,English+Malayalam,StormWarning=Active
Karnataka,Mysuru,Urban,Temple Area,Night,Low,Good,Stormy,High,Medium,46,Enabled,9 reports,VoiceOnly,English+Malayalam,AQI=Poor
Tamil Nadu,Coimbatore,Public,Bus Stop,Morning,Low,Poor,Rainy,Low,High,89,Enabled,3 reports,VibrationOnly,English+Telugu,FloodAlert=Active
Karnataka,Bengaluru,Urban,Park,Afternoon,Low,Poor,Rainy,Medium,Low,39,Enabled,2 reports,VoiceOnly,English+Hindi,AQI=Moderate
Tamil Nadu,Chennai,Tourist,Factory Zone,Night,High,Poor,Sunny,Medium,Low,90,Disabled,19 reports,VoiceOnly,English+Malayalam,FloodAlert=Active
Goa,Panaji,Tourist,Forest Path,Afternoon,Medium,Poor,Sunny,High,Low,37,Enabled,16 reports,Voice+Vibration,English+Assamese,StormWarning=Active
Telangana,Warangal,Industrial,Temple Area,Afternoon,Low,Good,Foggy,Low,Medium,52,Disabled,19 reports,VibrationOnly,English+Malayalam,Heatwave=Moderate
Punjab,Patiala,Urban,Bus Stop,Afternoon,High,Good,Clear,High,High,63,Enabled,13 reports,VoiceOnly,English+Tamil,AQI=Good
Gujarat,Vadodara,Sensitive,Railway Station,Morning,High,Good,Clear,Low,High,14,Disabled,1 reports,VibrationOnly,English+Malayalam,AQI=Moderate
Tamil Nadu,Coimbatore,Residential,City Market,Afternoon,High,Good,Clear,Low,High,49,Disabled,3 reports,VibrationOnly,English+Telugu,Heatwave=Moderate
Kerala,Kochi,Public,City Market,Evening,Medium,Poor,Stormy,High,High,62,Disabled,14 reports,VoiceOnly,English+Kannada,FloodAlert=Active
Telangana,Warangal,Transit,Metro Station,Afternoon,High,Good,Clear,Low,Medium,86,Enabled,18 reports,Voice+LargeButtons,English+Assamese,StormWarning=Active
Karnataka,Mysuru,Urban,Bus Stop,Evening,High,Poor,Rainy,Low,High,44,Disabled,11 reports,Voice+LargeButtons,English+Telugu,Heatwave=Moderate
Delhi,Karol Bagh,Transit,Temple Area,Morning,High,Poor,Clear,High,Low,94,Enabled,13 reports,VoiceOnly,English+Assamese,AQI=Good
Nagaland,Kohima,Residential,Railway Station,Morning,Low,Good,Sunny,High,Low,42,Enabled,8 reports,Voice+LargeButtons,English+Kannada,AQI=Moderate
West Bengal,Kolkata,Public,Metro Station,Night,High,Good,Stormy,Low,High,32,Disabled,18 reports,VibrationOnly,English+Tamil,FloodAlert=Active
Jharkhand,Ranchi,Residential,Park,Night,Medium,Poor,Sunny,High,Medium,10,Disabled,2 reports,Voice+LargeButtons,English+Tamil,AQI=Moderate
Tamil Nadu,Madurai,Urban,Park,Morning,High,Good,Foggy,Low,Medium,45,Disabled,5 reports,VibrationOnly,English+Bengali,Heatwave=Moderate
Tamil Nadu,Chennai,Industrial,Beach,Afternoon,High,Good,Stormy,High,Medium,60,Enabled,2 reports,Voice+LargeButtons,English+Malayalam,Heatwave=Moderate
Punjab,Ludhiana,Urban,Park,Evening,High,Poor,Foggy,Medium,Low,25,Enabled,3 reports,Voice+Vibration,English+Assamese,AQI=Good
Gujarat,Ahmedabad,Sensitive,Forest Path,Evening,High,Good,Stormy,Medium,Medium,40,Enabled,10 reports,VoiceOnly,English+Tamil,StormWarning=Active
Gujarat,Surat,Tourist,City Market,Morning,Low,Poor,Foggy,Medium,Medium,26,Enabled,2 reports,Voice+Vibration,English+Punjabi,FloodAlert=Active
Assam,Tezpur,Sensitive,Railway Station,Evening,Low,Good,Stormy,High,Medium,69,Disabled,7 reports,VoiceOnly,English+Bengali,AQI=Moderate
Kerala,Kozhikode,Urban,Park,Afternoon,High,Good,Sunny,Low,Medium,53,Disabled,10 reports,VibrationOnly,English+Kannada,AQI=Moderate
Telangana,Warangal,Residential,Apartment Complex,Morning,Medium,Good,Stormy,Medium,Low,100,Disabled,9 reports,Voice+Vibration,English+Tamil,Heatwave=Moderate
Punjab,Amritsar,Tourist,Bus Stop,Night,Medium,Poor,Foggy,High,Medium,65,Disabled,16 reports,Voice+LargeButtons,English+Gujarati,AQI=Moderate
Nagaland,Dimapur,Transit,Factory Zone,Afternoon,High,Poor,Clear,Low,Medium,76,Disabled,0 reports,Voice+Vibration,English+Assamese,AQI=Good
Uttar Pradesh,Varanasi,Tourist,Bus Stop,Afternoon,Low,Poor,Clear,High,Low,66,Enabled,5 reports,Voice+Vibration,English+Bengali,AQI=Poor
Delhi,Dwarka,Public,Bus Stop,Morning,Low,Good,Sunny,Low,Medium,10,Disabled,14 reports,Voice+Vibration,English+Tamil,AQI=Poor
Gujarat,Vadodara,Public,Metro Station,Afternoon,Medium,Poor,Sunny,Low,Low,12,Enabled,1 reports,VoiceOnly,English+Tamil,AQI=Moderate
Haryana,Gurgaon,Transit,City Market,Evening,Medium,Poor,Rainy,Low,Medium,83,Enabled,4 reports,VibrationOnly,English+Tamil,AQI=Poor
Delhi,Karol Bagh,Transit,Forest Path,Night,Low,Poor,Sunny,Low,Medium,64,Enabled,4 reports,VibrationOnly,English+Telugu,StormWarning=Active
Maharashtra,Nagpur,Residential,Temple Area,Morning,Low,Poor,Stormy,High,Low,61,Enabled,1 reports,Voice+Vibration,English+Punjabi,AQI=Good
West Bengal,Kolkata,Public,Railway Station,Evening,High,Poor,Foggy,Low,High,52,Enabled,16 reports,Voice+Vibration,English+Telugu,AQI=Poor
Madhya Pradesh,Bhopal,Residential,Park,Evening,Low,Good,Stormy,Low,Medium,95,Disabled,19 reports,VoiceOnly,English+Bengali,AQI=Poor
Punjab,Ludhiana,Sensitive,Bus Stop,Night,Low,Good,Foggy,Low,High,56,Disabled,2 reports,VoiceOnly,English+Bengali,StormWarning=Active
Tamil Nadu,Madurai,Public,Apartment Complex,Evening,Low,Good,Foggy,Low,High,57,Disabled,13 reports,VoiceOnly,English+Kannada,AQI=Poor
Delhi,Dwarka,Urban,Temple Area,Evening,Low,Poor,Stormy,Medium,High,14,Enabled,15 reports,Voice+Vibration,English+Bengali,AQI=Good
Maharashtra,Nagpur,Public,Temple Area,Evening,High,Poor,Foggy,Medium,High,24,Enabled,14 reports,VibrationOnly,English+Gujarati,Heatwave=Moderate
Gujarat,Vadodara,Transit,Railway Station,Afternoon,High,Good,Foggy,High,High,91,Disabled,20 reports,Voice+LargeButtons,English+Assamese,Heatwave=Moderate
West Bengal,Kolkata,Public,City Market,Night,Medium,Good,Foggy,Low,Medium,23,Enabled,16 reports,VibrationOnly,English+Kannada,StormWarning=Active
Rajasthan,Udaipur,Public,Factory Zone,Afternoon,Low,Poor,Sunny,High,Medium,95,Disabled,13 reports,VibrationOnly,English+Bengali,Heatwave=Moderate
Madhya Pradesh,Gwalior,Public,Temple Area,Morning,High,Good,Foggy,Medium,Low,77,Enabled,8 reports,VibrationOnly,English+Kannada,AQI=Poor
Uttar Pradesh,Kanpur,Urban,Metro Station,Evening,Medium,Poor,Foggy,Medium,Low,72,Disabled,9 reports,Voice+Vibration,English+Malayalam,AQI=Moderate
Karnataka,Mysuru,Industrial,Factory Zone,Morning,Medium,Good,Stormy,High,Medium,90,Enabled,17 reports,VibrationOnly,English+Assamese,StormWarning=Active
Haryana,Gurgaon,Residential,Park,Morning,High,Poor,Foggy,Low,Low,92,Disabled,13 reports,VibrationOnly,English+Hindi,AQI=Poor
Delhi,Dwarka,Residential,Park,Night,Medium,Poor,Clear,High,Low,30,Enabled,6 reports,Voice+LargeButtons,English+Assamese,AQI=Good
Gujarat,Ahmedabad,Industrial,Apartment Complex,Night,High,Good,Foggy,High,Medium,78,Enabled,12 reports,VoiceOnly,English+Kannada,AQI=Moderate
Assam,Tezpur,Transit,Bus Stop,Night,Medium,Good,Clear,Medium,Low,75,Enabled,16 reports,Voice+LargeButtons,English+Bengali,AQI=Good
Madhya Pradesh,Gwalior,Transit,City Market,Morning,High,Poor,Rainy,Medium,Low,41,Disabled,14 reports,VoiceOnly,English+Malayalam,Heatwave=Moderate
Karnataka,Mysuru,Tourist,Temple Area,Evening,Medium,Good,Stormy,High,Low,21,Enabled,6 reports,Voice+LargeButtons,English+Punjabi,FloodAlert=Active
Jharkhand,Ranchi,Residential,Metro Station,Evening,Medium,Good,Stormy,Medium,Medium,21,Disabled,14 reports,VoiceOnly,English+Hindi,AQI=Moderate
Nagaland,Kohima,Urban,Temple Area,Morning,High,Good,Clear,Low,Medium,51,Enabled,10 reports,Voice+LargeButtons,English+Assamese,AQI=Moderate
Chhattisgarh,Korba,Transit,Beach,Morning,Low,Good,Rainy,Low,High,69,Disabled,18 reports,Voice+Vibration,English+Bengali,FloodAlert=Active
Haryana,Gurgaon,Industrial,Beach,Afternoon,High,Good,Clear,High,Low,48,Disabled,13 reports,VibrationOnly,English+Assamese,AQI=Poor
Odisha,Cuttack,Transit,City Market,Night,High,Good,Sunny,High,High,68,Disabled,4 reports,VibrationOnly,English+Hindi,FloodAlert=Active
Assam,Tezpur,Sensitive,Temple Area,Evening,Medium,Good,Sunny,High,Low,40,Disabled,6 reports,VoiceOnly,English+Hindi,FloodAlert=Active
Karnataka,Hubli,Sensitive,Temple Area,Afternoon,High,Good,Clear,High,Medium,15,Disabled,3 reports,VoiceOnly,English+Malayalam,FloodAlert=Active
Haryana,Gurgaon,Public,Park,Afternoon,Medium,Good,Sunny,Medium,Medium,24,Enabled,0 reports,VoiceOnly,English+Assamese,AQI=Poor
Karnataka,Mysuru,Public,Railway Station,Morning,Low,Poor,Foggy,High,High,76,Enabled,1 reports,Voice+LargeButtons,English+Punjabi,StormWarning=Active
Chhattisgarh,Bilaspur,Industrial,Park,Evening,Medium,Good,Sunny,Medium,Low,89,Enabled,7 reports,VibrationOnly,English+Gujarati,AQI=Moderate
Maharashtra,Pune,Sensitive,Forest Path,Afternoon,High,Good,Stormy,High,High,91,Disabled,0 reports,VibrationOnly,English+Telugu,FloodAlert=Active
Rajasthan,Jaipur,Residential,Forest Path,Afternoon,High,Poor,Foggy,High,Low,58,Enabled,6 reports,Voice+LargeButtons,English+Telugu,AQI=Good
Assam,Guwahati,Public,City Market,Morning,Low,Good,Stormy,High,Medium,85,Enabled,12 reports,Voice+Vibration,English+Tamil,StormWarning=Active
Maharashtra,Pune,Public,Temple Area,Morning,Medium,Poor,Stormy,Medium,Medium,30,Disabled,20 reports,Voice+Vibration,English+Assamese,AQI=Good
